ID;DT_NOTIFIC;UMIDADE;TEMPERATURA;REGIAO
A236;02/04/2007;55;21,17;Ponta Grossa
A237;03/04/2007;48;21,45;Ponta Grossa
A238;04/04/2007;56;21,10;Ponta Grossa
A239;05/04/2007;65;20,26;Ponta Grossa
A240;06/04/2007;56;19,24;Ponta Grossa
A241;07/04/2007;66;18,02;Ponta Grossa
A242;08/04/2007;61;18,72;Ponta Grossa
A243;09/04/2007;51;16,55;Ponta Grossa
A244;10/04/2007;49;17,84;Ponta Grossa
A245;12/04/2007;40;17,68;Ponta Grossa
A246;13/04/2007;79;16,88;Ponta Grossa
A247;14/04/2007;56;19,17;Ponta Grossa
A248;15/04/2007;71;19,25;Ponta Grossa
A249;16/04/2007;46;20,52;Ponta Grossa
A250;17/04/2007;40;20,23;Ponta Grossa
A251;18/04/2007;51;19,33;Ponta Grossa
A252;19/04/2007;53;0,20;Ponta Grossa
A253;20/04/2007;41;20,23;Ponta Grossa
A254;21/04/2007;42;20,52;Ponta Grossa
A255;22/04/2007;41;20,02;Ponta Grossa
A256;23/04/2007;50;20,67;Ponta Grossa
A257;24/04/2007;50;20,40;Ponta Grossa
A258;25/04/2007;60;20,06;Ponta Grossa
A259;26/04/2007;85;18,72;Ponta Grossa
A260;28/04/2007;75;12,35;Ponta Grossa
A261;29/04/2007;72;15,55;Ponta Grossa
A262;30/04/2007;51;16,97;Ponta Grossa
A263;01/05/2007;38;17,03;Ponta Grossa
A264;02/05/2007;34;18,15;Ponta Grossa
A265;03/05/2007;59;17,16;Ponta Grossa
A266;04/05/2007;61;17,42;Ponta Grossa
A267;05/05/2007;42;18,66;Ponta Grossa
A268;06/05/2007;41;16,87;Ponta Grossa
A269;07/05/2007;40;17,98;Ponta Grossa
A270;08/05/2007;75;16,18;Ponta Grossa
A271;10/05/2007;60;10,27;Ponta Grossa
A272;11/05/2007;62;13,69;Ponta Grossa
A273;12/05/2007;52;14,72;Ponta Grossa
A274;13/05/2007;61;16,38;Ponta Grossa
A275;14/05/2007;51;18,35;Ponta Grossa
A276;15/05/2007;56;16,01;Ponta Grossa
A277;16/05/2007;52;16,41;Ponta Grossa
A278;18/05/2007;84;16,60;Ponta Grossa
A279;22/05/2007;69;16,44;Ponta Grossa
A280;23/05/2007;64;13,82;Ponta Grossa
A281;24/05/2007;43;8,18;Ponta Grossa
